"id","user_id","event_id","rating","comment"
"21","21","21","4","2025-05-30"
"22","22","22","5","2024-12-03"
"23","23","23","2","2025-04-13"
"24","24","24","2","2025-03-03"
"25","25","25","5","2024-10-24"
"26","26","26","4","2024-12-26"
"27","27","27","1","2025-05-06"
"28","28","28","3","2025-06-26"
"29","29","29","4","2024-10-24"
"30","30","30","2","2025-01-04"
"31","31","31","5","2025-10-08"
"32","32","32","3","2024-11-12"
"33","33","33","5","2025-07-10"
"34","34","34","4","2025-03-01"
"35","35","35","3","2025-08-17"
"36","36","36","2","2025-07-23"
"37","37","37","3","2025-05-13"
"38","38","38","4","2025-10-03"
"39","39","39","2","2025-06-27"
"40","40","40","1","2024-10-22"
"41","41","41","2","2025-01-13"
"42","42","42","2","2025-04-01"
"43","43","43","2","2025-07-30"
"44","44","44","1","2025-04-11"
"45","45","45","4","2025-02-06"
"46","46","46","4","2025-04-06"
"47","47","47","2","2025-03-21"
"48","48","48","4","2025-05-10"
"49","49","49","4","2025-07-07"
"50","50","50","3","2024-10-24"
"51","51","51","3","2025-06-16"
"52","52","52","1","2025-08-04"
"53","53","53","1","2025-02-02"
"54","54","54","4","2025-08-22"
"55","55","55","5","2024-12-30"
"56","56","56","4","2025-07-07"
"57","57","57","5","2025-06-23"
"58","58","58","1","2025-03-08"
"59","59","59","3","2025-01-02"
"60","60","60","1","2025-04-06"
"61","61","61","3","2024-10-31"
"62","62","62","4","2025-02-13"
"63","63","63","3","2025-05-24"
"64","64","64","3","2025-01-23"
"65","65","65","1","2025-01-20"
"66","66","66","2","2025-07-25"
"67","67","67","3","2025-07-14"
"68","68","68","3","2024-10-27"
"69","69","69","5","2024-12-19"
"70","70","70","5","2025-07-01"
"71","71","71","4","2025-07-07"
"72","72","72","4","2025-07-17"
"73","73","73","2","2025-10-03"
"74","74","74","1","2025-05-04"
"75","75","75","4","2025-06-05"
"76","76","76","1","2024-12-20"
"77","77","77","4","2025-03-30"
"78","78","78","3","2025-06-28"
"79","79","79","2","2024-12-21"
"80","80","80","5","2025-07-28"
"81","81","81","3","2025-02-22"
"82","82","82","2","2024-11-18"
"83","83","83","3","2025-06-09"
"84","84","84","3","2025-08-21"
"85","85","85","5","2024-12-24"
"86","86","86","4","2025-07-09"
"87","87","87","4","2025-05-06"
"88","88","88","4","2025-04-10"
"89","89","89","1","2024-10-16"
"90","90","90","4","2024-10-20"
"91","91","91","2","2025-04-15"
"92","92","92","2","2024-11-05"
"93","93","93","2","2025-05-03"
"94","94","94","4","2025-08-27"
"95","95","95","3","2025-08-02"
"96","96","96","4","2025-05-07"
"97","97","97","1","2025-10-01"
"98","98","98","1","2025-09-10"
"99","99","99","2","2025-07-16"
"100","100","100","2","2025-06-29"
"101","101","101","3","2025-10-09"
"102","102","102","4","2025-07-27"
"103","103","103","3","2025-06-27"
"104","104","104","3","2025-03-30"
"105","105","105","3","2025-07-11"
"106","106","106","2","2025-09-22"
"107","107","107","2","2025-08-31"
"108","108","108","2","2024-11-02"
"109","109","109","3","2025-07-08"
"110","110","110","3","2024-10-17"
"111","111","111","4","2025-09-16"
"112","112","112","4","2025-03-31"
"113","113","113","2","2025-06-12"
"114","114","114","5","2025-01-21"
"115","115","115","5","2025-09-17"
"116","116","116","3","2024-11-23"
"117","117","117","4","2024-11-30"
"118","118","118","5","2024-12-10"
"119","119","119","4","2024-11-15"
"120","120","120","1","2024-12-14"
"121","121","121","3","2025-04-03"
"122","122","122","3","2025-02-04"
"123","123","123","2","2025-02-09"
"124","124","124","2","2025-02-08"
"125","125","125","5","2025-01-30"
"126","126","126","4","2025-07-27"
"127","127","127","2","2025-02-28"
"128","128","128","5","2025-02-20"
"129","129","129","5","2025-05-02"
"130","130","130","4","2025-02-21"
"131","131","131","2","2025-09-22"
"132","132","132","3","2025-01-23"
"133","133","133","5","2025-04-19"
"134","134","134","2","2025-07-24"
"135","135","135","1","2025-03-09"
"136","136","136","2","2025-08-21"
"137","137","137","2","2025-10-02"
"138","138","138","2","2025-09-15"
"139","139","139","2","2025-03-17"
"140","140","140","2","2025-07-16"
"141","141","141","2","2025-03-15"
"142","142","142","4","2025-02-10"
"143","143","143","2","2025-10-05"
"144","144","144","2","2024-12-28"
"145","145","145","3","2025-02-25"
"146","146","146","3","2024-12-27"
"147","147","147","5","2025-09-17"
"148","148","148","2","2025-07-28"
"149","149","149","5","2025-07-03"
"150","150","150","5","2025-08-25"
"151","151","151","1","2025-09-19"
"152","152","152","4","2025-02-05"
"153","153","153","1","2025-05-28"
"154","154","154","1","2025-05-19"
"155","155","155","5","2025-04-26"
"156","156","156","4","2025-05-15"
"157","157","157","3","2025-10-05"
"158","158","158","3","2025-01-17"
"159","159","159","2","2025-04-25"
"160","160","160","5","2025-07-31"
